ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2016-0001,2016-01-01,MOTO,19.0,2016-01-01,19-30
2016-0002,2016-01-02,AUTO,70.0,2016-01-02,61+
2016-0003,2016-01-03,MOTO,30.0,2016-01-03,31-45
2016-0005,2016-01-21,MOTO,29.0,2016-02-01,19-30
2016-0008,2016-01-24,MOTO,30.0,2016-01-24,31-45
2016-0009,2016-01-24,MOTO,29.0,2016-01-26,19-30
2016-0010,2016-01-29,MOTO,18.0,2016-01-29,19-30
2016-0012,2016-02-08,MOTO,22.0,2016-02-08,19-30
2016-0013,2016-02-10,PEATON,16.0,2016-02-10,0-18
2016-0015,2016-02-14,PEATON,16.0,2016-02-14,0-18
2016-0016,2016-02-14,MOTO,19.0,2016-02-14,19-30
2016-0017,2016-02-15,PEATON,59.0,2016-02-16,46-60
2016-0019,2016-02-17,PEATON,65.0,2016-02-17,61+
2016-0020,2016-02-17,PEATON,59.0,2016-03-02,46-60
2016-0021,2016-02-17,AUTO,34.0,2016-02-17,31-45
2016-0025,2016-02-28,AUTO,34.0,2016-02-28,31-45
2016-0026,2016-02-28,AUTO,30.0,2016-03-04,31-45
2016-0028,2016-03-02,PEATON,50.0,2016-03-02,46-60
2016-0029,2016-03-04,PEATON,38.0,2016-03-04,31-45
2016-0034,2016-03-12,PEATON,52.0,2016-03-12,46-60
2016-0035,2016-03-13,MOTO,34.0,2016-03-13,31-45
2016-0036,2016-03-14,MOTO,36.0,2016-03-14,31-45
2016-0037,2016-03-19,MOTO,20.0,2016-03-19,19-30
2016-0038,2016-03-21,PEATON,29.0,2016-03-21,19-30
2016-0039,2016-03-23,MOTO,20.0,2016-03-23,19-30
2016-0041,2016-03-29,MOTO,54.0,2016-03-29,46-60
2016-0041,2016-03-29,MOTO,,2016-03-30,
2016-0043,2016-03-30,PEATON,56.0,2016-03-30,46-60
2016-0044,2016-03-31,MOTO,24.0,2016-03-31,19-30
2016-0047,2016-04-15,PEATON,41.0,2016-04-15,31-45
2016-0050,2016-04-19,PEATON,78.0,2016-04-19,61+
2016-0051,2016-04-20,MOTO,36.0,2016-04-20,31-45
2016-0053,2016-04-22,PEATON,38.0,2016-04-22,31-45
2016-0054,2016-04-23,MOTO,30.0,2016-04-25,31-45
2016-0055,2016-04-25,PEATON,79.0,2016-04-28,61+
2016-0056,2016-04-26,MOTO,26.0,2016-04-26,19-30
2016-0058,2016-05-04,PEATON,57.0,2016-05-08,46-60
2016-0059,2016-05-08,PEATON,37.0,2016-05-26,31-45
2016-0065,2016-05-20,PEATON,20.0,2016-05-20,19-30
2016-0069,2016-05-23,AUTO,30.0,2016-05-23,31-45
2016-0075,2016-06-12,PEATON,42.0,2016-06-12,31-45
2016-0076,2016-06-13,PEATON,53.0,2016-06-13,46-60
2016-0082,2016-06-27,PEATON,87.0,2016-07-05,61+
2016-0083,2016-06-28,PEATON,76.0,2016-06-29,61+
2016-0084,2016-06-29,PEATON,57.0,2016-07-08,46-60
2016-0086,2016-06-30,PEATON,75.0,2016-07-01,61+
2016-0087,2016-07-03,MOTO,23.0,2016-07-03,19-30
2016-0088,2016-07-11,PEATON,70.0,2016-07-14,61+
2016-0089,2016-07-14,PEATON,35.0,2016-07-14,31-45
2016-0090,2016-07-14,PEATON,60.0,2016-07-15,61+
2016-0092,2016-07-15,MOTO,24.0,2016-07-15,19-30
2016-0093,2016-07-17,AUTO,35.0,2016-07-19,31-45
2016-0095,2016-07-23,MOTO,29.0,2016-07-23,19-30
2016-0097,2016-07-26,PEATON,80.0,2016-08-12,61+
2016-0100,2016-08-03,MOTO,57.0,2016-08-03,46-60
2016-0104,2016-08-14,MOTO,21.0,2016-08-15,19-30
2016-0105,2016-08-17,PEATON,19.0,2016-08-26,19-30
2016-0109,2016-08-24,AUTO,53.0,2016-08-24,46-60
2016-0111,2016-08-25,MOTO,27.0,2016-08-25,19-30
2016-0112,2016-08-27,MOTO,24.0,2016-08-27,19-30
2016-0114,2016-08-31,BICICLETA,55.0,2016-08-31,46-60
2016-0116,2016-09-02,MOTO,30.0,2016-09-02,31-45
2016-0118,2016-09-04,AUTO,27.0,2016-09-04,19-30
2016-0122,2016-09-13,BICICLETA,49.0,2016-09-13,46-60
2016-0128,2016-10-02,PEATON,81.0,2016-10-02,61+
2016-0130,2016-10-04,MOTO,29.0,2016-10-04,19-30
2016-0132,2016-10-10,AUTO,30.0,2016-10-10,31-45
2016-0133,2016-10-14,MOTO,41.0,2016-10-25,31-45
2016-0134,2016-10-23,MOTO,25.0,2016-10-23,19-30
2016-0135,2016-10-24,PEATON,29.0,2016-10-25,19-30
2016-0142,2016-11-05,MOTO,46.0,2016-11-05,46-60
2016-0145,2016-11-07,MOTO,39.0,2016-11-07,31-45
2016-0147,2016-11-16,MOVIL,55.0,2016-11-16,46-60
2016-0150,2016-11-18,CARGAS,41.0,2016-11-18,31-45
2016-0152,2016-11-23,MOTO,42.0,2016-11-24,31-45
2016-0153,2016-11-25,PEATON,83.0,2016-11-25,61+
2016-0156,2016-11-26,MOTO,23.0,2016-11-30,19-30
2016-0160,2016-12-06,CARGAS,29.0,2016-12-06,19-30
2016-0161,2016-12-06,PEATON,50.0,2016-12-06,46-60
2016-0162,2016-12-07,PEATON,38.0,2017-01-01,31-45
2016-0168,2016-12-13,MOTO,43.0,2016-12-13,31-45
2016-0169,2016-12-15,MOTO,24.0,2016-12-16,19-30
2016-0170,2016-12-19,MOTO,21.0,2016-12-19,19-30
2016-0172,2016-12-26,MOTO,38.0,2016-12-26,31-45
2017-0001,2017-01-02,MOTO,18.0,2017-01-02,19-30
2017-0003,2017-01-05,CARGAS,33.0,2017-01-05,31-45
2017-0007,2017-01-11,PEATON,48.0,2017-01-11,46-60
2017-0008,2017-01-16,MOTO,29.0,2017-01-16,19-30
2017-0009,2017-01-16,MOTO,36.0,2017-01-16,31-45
2017-0010,2017-01-16,MOTO,23.0,2017-01-16,19-30
2017-0011,2017-01-22,MOTO,29.0,2017-01-22,19-30
2017-0012,2017-01-24,MOTO,30.0,2017-01-24,31-45
2017-0013,2017-01-27,PEATON,4.0,2017-01-27,0-18
2017-0014,2017-01-28,MOTO,22.0,2017-01-28,19-30
2017-0015,2017-02-02,PEATON,82.0,2017-02-21,61+
2017-0016,2017-02-03,MOTO,27.0,2017-02-04,19-30
2017-0017,2017-02-06,MOTO,32.0,2017-02-06,31-45
2017-0018,2017-02-09,MOTO,30.0,2017-02-09,31-45
2017-0021,2017-02-18,MOTO,43.0,2017-02-18,31-45
2017-0024,2017-02-23,PEATON,39.0,2017-02-23,31-45
2017-0025,2017-02-24,MOTO,23.0,2017-02-24,19-30
2017-0026,2017-02-26,AUTO,23.0,2017-02-26,19-30
2017-0026,2017-02-26,AUTO,19.0,2017-02-26,19-30
2017-0027,2017-02-26,PEATON,,2017-02-26,
2017-0028,2017-02-28,PEATON,87.0,2017-02-28,61+
2017-0029,2017-03-07,SD,34.0,2017-03-07,31-45
2017-0030,2017-03-07,AUTO,27.0,2017-03-07,19-30
2017-0031,2017-03-11,AUTO,70.0,2017-03-11,61+
2017-0032,2017-03-12,AUTO,40.0,2017-03-12,31-45
2017-0033,2017-03-12,AUTO,28.0,2017-03-12,19-30
2017-0034,2017-03-13,PEATON,43.0,2017-03-13,31-45
2017-0035,2017-03-23,AUTO,28.0,2017-03-23,19-30
2017-0035,2017-03-23,AUTO,32.0,2017-03-23,31-45
2017-0035,2017-03-23,AUTO,30.0,2017-03-23,31-45
2017-0036,2017-03-29,MOTO,,2017-03-29,
2017-0036,2017-03-29,MOTO,20.0,2017-03-29,19-30
2017-0037,2017-03-31,MOTO,41.0,2017-03-31,31-45
2017-0038,2017-04-01,MOTO,40.0,2017-04-01,31-45
